ÐòºÅ	TCPÁ÷ÐòºÅ	TCPÊý¾Ý¶ÎÐòºÅ	ÑÓÊ±	¶¶¶¯
658	2	2757604472	0.000012	0.002429
659	2	2757607392	0.001589	0.001577
660	2	2757613232	0.000769	0.000820
661	2	2757623452	0.000995	0.000226
662	2	2757627832	0.002675	0.001680
663	2	2757642432	0.001168	0.001507
664	2	2757652652	0.000764	0.000404
665	2	2757655572	0.001532	0.000768
666	2	2757662872	0.000775	0.000757
667	2	2757670172	0.000776	0.000001
668	2	2757673092	0.000773	0.000003
669	2	2757676012	0.000964	0.000191
670	2	2757683312	0.000861	0.000103
671	2	2757690612	0.001529	0.000668
672	2	2757692072	0.002672	0.001143
673	2	2757702292	0.000018	0.002654
674	2	2757705212	0.000777	0.000759
675	2	2757713972	0.000775	0.000002
676	2	2757716892	0.000777	0.000002
677	2	2757722732	0.000758	0.000019
678	2	2757727112	0.000758	0.000000
679	2	2757734412	0.000761	0.000003
680	2	2757738792	0.001180	0.000419
681	2	2757746092	0.000755	0.000425
682	2	2757751932	0.000743	0.000012
683	2	2757754852	0.001476	0.000733
684	2	2757756312	0.001911	0.000435
685	2	2757766532	0.000136	0.001775
686	2	2757769452	0.001557	0.001421
687	2	2757776752	0.000744	0.000813
688	2	2757784052	0.001040	0.000296
689	2	2757786972	0.000743	0.000297
690	2	2757795732	0.000940	0.000197
691	2	2757801572	0.000740	0.000200
692	2	2757805952	0.000743	0.000003
693	2	2757811792	0.000758	0.000015
694	2	2757816172	0.000809	0.000051
695	2	2757819092	0.018364	0.017555
696	2	2757820552	0.001594	0.016770
697	2	2757823472	0.261743	0.260149
698	2	2757824024	0.001196	0.260547
699	2	2757835152	0.000782	0.000414
700	2	2757838072	0.000776	0.000006
701	2	2757843912	0.000781	0.000005
702	2	2757852672	0.000778	0.000003
703	2	2757861432	0.000777	0.000001
704	2	2757877492	0.000009	0.000768
705	2	2757880412	0.000777	0.000768
706	2	2757884792	0.001785	0.001008
707	2	2757887712	0.254428	0.252643
708	2	2757888264	0.004834	0.249594
709	2	2757902312	0.001179	0.003655
710	2	2757912532	0.000785	0.000394
711	2	2757916912	0.000784	0.000001
